n,semilla,seleccion,maximo,acierto
10000,36,10000,10000,SI
10000,37,9958,10000,NO
10000,38,10000,10000,SI
10000,39,3439,10000,NO
10000,40,10000,10000,SI
10000,41,10000,10000,SI
10000,42,10000,10000,SI
10000,43,632,10000,NO
10000,44,6694,10000,NO
10000,45,10000,10000,SI
10000,46,1252,10000,NO
10000,47,10000,10000,SI
10000,48,8982,10000,NO
10000,49,10000,10000,SI
10000,50,9998,10000,NO
10000,51,9998,10000,NO
10000,52,10000,10000,SI
10000,53,10000,10000,SI
10000,54,2253,10000,NO
10000,55,10000,10000,SI
10000,56,9999,10000,NO
10000,57,698,10000,NO
10000,58,9516,10000,NO
10000,59,10000,10000,SI
10000,60,5044,10000,NO
10000,61,8102,10000,NO
10000,62,9426,10000,NO
10000,63,10000,10000,SI
10000,64,7802,10000,NO
10000,65,6796,10000,NO
10000,66,1161,10000,NO
10000,67,10000,10000,SI
10000,68,7641,10000,NO
10000,69,10000,10000,SI
10000,70,1941,10000,NO
10000,71,5305,10000,NO
10000,72,10000,10000,SI
10000,73,4585,10000,NO
10000,74,10000,10000,SI
10000,75,7387,10000,NO
10000,76,6072,10000,NO
10000,77,9996,10000,NO
10000,78,3075,10000,NO
10000,79,2382,10000,NO
10000,80,10000,10000,SI
10000,81,8290,10000,NO
10000,82,10000,10000,SI
10000,83,10000,10000,SI
10000,84,4647,10000,NO
10000,85,10000,10000,SI
10000,86,509,10000,NO
10000,87,10000,10000,SI
10000,88,6513,10000,NO
10000,89,10000,10000,SI
10000,90,3337,10000,NO
10000,91,1369,10000,NO
10000,92,6899,10000,NO
10000,93,10000,10000,SI
10000,94,9999,10000,NO
10000,95,9999,10000,NO
10000,96,6072,10000,NO
10000,97,3188,10000,NO
10000,98,5840,10000,NO
10000,99,10000,10000,SI
20000,0,12624,20000,NO
20000,1,20000,20000,SI
20000,2,1854,20000,NO
20000,3,20000,20000,SI
20000,4,20000,20000,SI
20000,5,8371,20000,NO
20000,6,18803,20000,NO
20000,7,20000,20000,SI
20000,8,19999,20000,NO
20000,9,15172,20000,NO
20000,10,18724,20000,NO
20000,11,14824,20000,NO
20000,12,19999,20000,NO
20000,13,19999,20000,NO
20000,14,20000,20000,SI
20000,15,20000,20000,SI
20000,16,11847,20000,NO
20000,17,20000,20000,SI
20000,18,19999,20000,NO
20000,19,1418,20000,NO
20000,20,4955,20000,NO
20000,21,5406,20000,NO
20000,22,20000,20000,SI
20000,23,9500,20000,NO
20000,24,19995,20000,NO
20000,25,20000,20000,SI
20000,26,20000,20000,SI
20000,27,15725,20000,NO
20000,28,20000,20000,SI
20000,29,17961,20000,NO
20000,30,20000,20000,SI
20000,31,403,20000,NO
20000,32,20000,20000,SI
20000,33,18689,20000,NO
20000,34,17333,20000,NO
20000,35,17980,20000,NO
20000,36,19999,20000,NO
20000,37,20000,20000,SI
20000,38,20000,20000,SI
20000,39,6877,20000,NO
20000,40,15028,20000,NO
20000,41,20000,20000,SI
20000,42,20000,20000,SI
20000,43,20000,20000,SI
20000,44,13387,20000,NO
20000,45,8909,20000,NO
20000,46,2503,20000,NO
20000,47,20000,20000,SI
20000,48,17963,20000,NO
